requirement_id,requirement_summary,test_id,test_path,test_type,phase,status
CS25-01,All 54 priority papers addressed via one ADR per paper,CF-01,tests/cs25-26-sweep/adr-completeness.test.ts,CF,803,Pending
CS25-01,All 54 priority papers addressed via one ADR per paper,CF-13,tests/cs25-26-sweep/m1-coverage.test.ts,CF,801,Pending
CS25-01,All 54 priority papers addressed via one ADR per paper,CF-14,tests/cs25-26-sweep/m2-coverage.test.ts,CF,801,Pending
CS25-01,All 54 priority papers addressed via one ADR per paper,CF-15,tests/cs25-26-sweep/m3-coverage.test.ts,CF,801,Pending
CS25-01,All 54 priority papers addressed via one ADR per paper,CF-16,tests/cs25-26-sweep/m4-coverage.test.ts,CF,801,Pending
CS25-01,All 54 priority papers addressed via one ADR per paper,CF-17,tests/cs25-26-sweep/m5-coverage.test.ts,CF,801,Pending
CS25-01,All 54 priority papers addressed via one ADR per paper,CF-18,tests/cs25-26-sweep/m6-coverage.test.ts,CF,801,Pending
CS25-02,Per-paper ADR populated consistently; SC-PARA + SC-SRC gates,SC-SRC,tests/cs25-26-sweep/source-quality.test.ts,SC,801,Pending
CS25-02,Per-paper ADR populated consistently; SC-PARA + SC-SRC gates,SC-PARA,tests/cs25-26-sweep/no-verbatim-15w.test.ts,SC,801,Pending
CS25-02,Per-paper ADR populated consistently; SC-PARA + SC-SRC gates,SC-NUM,tests/cs25-26-sweep/numerical-attribution.test.ts,SC,801,Pending
CS25-03,Convergent-discovery validation report — 4 anchors x 500-800 words,CF-02,tests/cs25-26-sweep/convergent-discovery-citations.test.ts,CF,801,Pending
CS25-03,Convergent-discovery validation report — 4 anchors x 500-800 words,CF-13,tests/cs25-26-sweep/m1-coverage.test.ts,CF,801,Pending
CS25-03,Convergent-discovery validation report — 4 anchors x 500-800 words,IN-08,tests/cs25-26-sweep/root-theorem-bounded-learning-link.test.ts,IN,801,Pending
CS25-04,Cross-module relationship matrix >=15 connections; pre-rollout-gate language,CF-11,tests/cs25-26-sweep/xmod-matrix-size.test.ts,CF,801,Pending
CS25-04,Cross-module relationship matrix >=15 connections; pre-rollout-gate language,IN-03,tests/cs25-26-sweep/xmod-adr-consistency.test.ts,IN,801,Pending
CS25-04,Cross-module relationship matrix >=15 connections; pre-rollout-gate language,CF-06,tests/cs25-26-sweep/skill-stealing-threat-model.test.ts,CF,803,Pending
