degree,name,sound_type,energy,ecosystem,season,family,lat,lon
0,Great Blue Heron,stalking silence / pterodactyl croak,1,Puget Sound estuary,resident,Ardeidae,47.608,-122.297
1,Pacific Wren,intricate cascade warble,2,old-growth understory,resident,Troglodytidae,47.644,-122.354
2,Varied Thrush,single haunting minor whistle,2,mature conifer forest,winter-resident,Turdidae,47.623,-122.315
3,Black-capped Chickadee,fee-bee song / chick-a-dee alarm,2,mixed woodland,resident,Paridae,47.608,-122.297
4,Spotted Owl,four-note territorial hoot,2,old-growth Douglas fir,resident,Strigidae,47.608,-122.297
5,Red-breasted Nuthatch,nasal yank-yank tin horn,2,conifer canopy,resident,Sittidae,47.608,-122.297
6,Pacific-slope Flycatcher,upslurred wheeet,2,riparian alder,spring-fall,Tyrannidae,47.608,-122.297
7,Hermit Thrush,ethereal spiraling flute song,2,mountain forest,summer,Turdidae,47.606,-122.332
8,Golden-crowned Kinglet,ultra-high ascending zee-zee-zee,1,spruce-fir canopy,resident,Regulidae,47.606,-122.332
9,Chestnut-backed Chickadee,rapid chick-a-dee-dee,2,coastal conifer,resident,Paridae,47.606,-122.332
10,Bushtit,thin insect-like seep contact calls,1,shrubby woodland edge,resident,Aegithalidae,47.606,-122.332
11,Oregon Junco,metallic trill on single pitch,2,forest edge,resident,Emberizidae,47.608,-122.297
12,Pine Siskin,rising zhreee / buzzy warble,1,conifer seed crop,irruptive,Fringillidae,47.606,-122.332
13,Hutton's Vireo,repeated rising-falling zuit,2,oak woodland,resident,Vireonidae,47.606,-122.332
14,MacGillivray's Warbler,churry-churry-churry-sweet,2,dense shrub,summer,Parulidae,47.606,-122.332
15,Wilson's Warbler,rapid chattering chi-chi-chet,3,willow riparian,summer,Parulidae,47.606,-122.332
16,Yellow Warbler,sweet-sweet-sweeter-than-sweet,3,riparian willow,summer,Parulidae,47.606,-122.332
17,Common Yellowthroat,witchety-witchety-witchety,3,marsh edge,summer,Parulidae,47.606,-122.332
18,Swainson's Thrush,upward spiraling fluty phrases,3,riparian forest,summer,Turdidae,47.623,-122.315
19,Veery,downward spiraling veer-veer,3,lowland riparian,summer,Turdidae,47.608,-122.297
20,Orange-crowned Warbler,trilling descending rattle,3,shrubby slope,summer,Parulidae,47.608,-122.297
21,Northern Flicker,loud wick-wick-wick call,4,open woodland,resident,Picidae,47.651,-122.35
22,Red-shafted Flicker drumming,resonant hollow-tree percussion,4,forest snag,resident,Picidae,47.651,-122.35
23,Black-headed Grosbeak,rich robin-like warble with slurs,4,mixed forest,summer,Cardinalidae,47.608,-122.297
24,Western Tanager,hoarse robin-like warble,4,conifer forest,summer,Thraupidae,47.606,-122.332
25,American Robin,cheerily cheer-up cheerio,4,lawn and woodland,resident,Turdidae,47.608,-122.297
26,Purple Martin,rich gurgling liquid song,4,open sky near water,summer,Hirundinidae,47.606,-122.332
27,Violet-green Swallow,twitter and liquid chips,4,open water,summer,Hirundinidae,47.608,-122.297
28,Tree Swallow,liquid twittering gurgle,4,open field near water,summer,Hirundinidae,47.606,-122.332
29,Rough-winged Swallow,rough buzzy brrit,4,river bank,summer,Hirundinidae,47.606,-122.332
30,Barn Swallow,long liquid twittering warble,4,open farmland,summer,Hirundinidae,47.608,-122.297
31,Cedar Waxwing,high thin see-see-see trilled,4,fruiting trees,resident,Bombycillidae,47.606,-122.332
32,Bohemian Waxwing,buzzy bzeee calls flock chorus,5,berry stands,irruptive,Bombycillidae,47.606,-122.332
33,Cassin's Finch,rich warbling song male display,4,mountain conifer,summer,Fringillidae,47.608,-122.297
34,Red Crossbill,kip-kip-kip flight call + warble,4,cone crop,nomadic,Fringillidae,47.608,-122.297
35,Rufous Hummingbird,ch-ch-ch wingbeat thrum + chitter,5,flower meadow,summer,Trochilidae,47.606,-122.332
36,Anna's Hummingbird,metallic chip + dive display buzz,5,urban/coastal,resident,Trochilidae,47.608,-122.297
37,Calliope Hummingbird,soft rising tsee-tsee,4,mountain meadow,summer,Trochilidae,47.606,-122.332
38,Black-throated Gray Warbler,lazy buzzy wheeze song,4,oak-pine,summer,Parulidae,47.608,-122.297
39,Townsend's Warbler,buzzy zee-zee-zee-zwee-zweee,4,conifer canopy,summer/winter,Parulidae,47.606,-122.332
40,Hermit Warbler,thin buzzy song conifer top,4,mountain conifer,summer,Parulidae,47.606,-122.332
41,Nashville Warbler,see-bit see-bit teedle-teedle,4,brush,summer,Parulidae,47.623,-122.315
42,Yellow-rumped Warbler,loose trill varied song,4,conifer edge,resident/summer,Parulidae,47.606,-122.332
43,American Goldfinch,per-chick-o-ree flight call + canary song,4,weedy field,summer,Fringillidae,47.606,-122.332
44,Lesser Goldfinch,high thin tsee-ee-ee,4,weedy shrub,summer,Fringillidae,47.54,-122.32
45,Pacific Chorus Frog,krek-ek breeding chorus,2,pond wetland,spring,Hylidae,47.65,-122.35
46,Columbia Spotted Frog,low clucking grunts,3,montane pond,summer,Ranidae,47.562,-122.386
47,Cascades Frog,low-pitched clucking notes,3,alpine lake,summer,Ranidae,47.699,-122.355
48,Tailed Frog,largely silent / stream noise,2,cold mountain stream,summer,Ascaphidae,47.668,-122.384
49,Western Toad,low-pitched musical trill,3,woodland pond,spring,Bufonidae,47.037,-122.9
50,Rough-skinned Newt,silent / water ripple movement,1,pond woodland,resident,Salamandridae,47.037,-122.9
51,Northwestern Salamander,silent / leaf-litter rustle,1,moist forest floor,resident,Ambystomatidae,47.606,-122.332
52,Long-toed Salamander,silent / stream sound,1,subalpine pond,summer,Ambystomatidae,47.312,-122.107
53,Olympic Torrent Salamander,silent in ice-cold seep,1,old-growth seep,resident,Rhyacotritonidae,47.683,-122.279
54,Clouded Salamander,silent in bark crevice,1,old-growth snag,resident,Plethodontidae,47.623,-122.315
55,Oregon Slender Salamander,silent in duff layer,1,coastal forest,resident,Plethodontidae,47.562,-122.386
56,Ensatina salamander,soft squeak if handled,1,moist forest,resident,Plethodontidae,47.651,-122.35
57,Pacific Giant Salamander,low bark / growl when threatened,3,cold stream,resident,Dicamptodontidae,47.668,-122.384
58,Red-legged Frog,soft guttural clucking chorus,3,lowland pond,spring,Ranidae,48.19,-122.52
59,Bullfrog (invasive),deep bass jug-o-rum,5,lowland pond,resident invasive,Ranidae,47.623,-122.315
60,Green Frog,banjo-plunk call,4,lake edge,invasive resident,Ranidae,47.606,-122.332
61,American Beaver,tail slap on water,4,pond/creek,resident,Castoridae,47.606,-122.332
62,Beaver chewing,rhythmic gnawing woody percussion,3,riparian,resident,Castoridae,47.606,-122.332
63,River Otter,loud chuffing + whistles,4,river/estuary,resident,Mustelidae,47.608,-122.297
64,Mink,shrill chitter alarm call,4,creek bank,resident,Mustelidae,47.606,-122.332
65,American Marten,low chuckle + loud chatter,4,old-growth forest,resident,Mustelidae,47.499,-111.299
66,Fisher,loud screaming call (rare),5,dense forest,resident,Mustelidae,47.606,-122.332
67,Short-tailed Weasel,shrill bark / chitter,4,meadow-forest edge,resident,Mustelidae,47.606,-122.332
68,Long-tailed Weasel,rapid chattering chirp,4,open woodland,resident,Mustelidae,47.606,-122.332
69,Striped Skunk,warning foot-stamp / hiss,3,woodland edge,resident,Mephitidae,47.606,-122.332
70,Raccoon,churring / chittering young,3,riparian/urban,resident,Procyonidae,47.606,-122.332
71,Red Fox,bark + screaming vixen call,5,open country,resident,Canidae,47.606,-122.332
72,Opossum,low hiss / click when threatened,2,woodland edge,resident,Didelphidae,47.606,-122.332
73,Snowshoe Hare,thump on ground / squeal if caught,3,brushy forest,resident,Leporidae,47.606,-122.332
74,American Pika,high sharp eenk bark,4,talus slope,resident,Ochotonidae,47.606,-122.332
75,Yellow-bellied Marmot,piercing whistle alarm,5,rocky slope,resident,Sciuridae,47.606,-122.332
