Flight_Number,STS_Designation,Orbiter,Launch_Date,Landing_Date,Duration,Crew_Size,Commander,Primary_Payload,Mission_Type,Notable_Events,Status
1,STS-1,Columbia,1981-04-12,1981-04-14,"2d 06h 20m",2,John Young,OFT (Orbital Flight Test),Test Flight,"First Space Shuttle flight; first winged reusable spacecraft to orbit and return; first crewed maiden voyage of a US orbital vehicle",Complete
2,STS-2,Columbia,1981-11-12,1981-11-14,"2d 06h 13m",2,Joe Engle,"OSTA-1 / SIR-A (Shuttle Imaging Radar)",Test Flight,"First reuse of a crewed orbital vehicle; first operation of RMS (Canadarm); mission shortened from 5 to 2 days due to fuel cell failure",Complete
3,STS-3,Columbia,1982-03-22,1982-03-30,"8d 00h 04m",2,Jack Lousma,OSS-1 (Office of Space Science payload),Test Flight,"First landing at White Sands New Mexico (Northrup Strip); thermal tests of orbiter",Complete
4,STS-4,Columbia,1982-06-27,1982-07-04,"7d 01h 09m",2,Thomas Mattingly,DoD-82-1 / Continuous Flow Electrophoresis,Test Flight,"Final orbital test flight; first DoD payload; landed on concrete runway at Edwards AFB; President Reagan attended landing",Complete
5,STS-5,Columbia,1982-11-11,1982-11-16,"5d 02h 14m",4,Vance Brand,"SBS-3 / Anik C-3",Satellite Deploy,"First operational mission; first deployment of commercial satellites; first 4-person crew; planned EVA cancelled due to spacesuit malfunction",Complete
6,STS-6,Challenger,1983-04-04,1983-04-09,"5d 00h 23m",4,Paul Weitz,"TDRS-1",Satellite Deploy,"Challenger's maiden flight; first Shuttle EVA (Musgrave & Peterson); TDRS-1 deployed (IUS malfunction placed it in wrong orbit initially)",Complete
7,STS-7,Challenger,1983-06-18,1983-06-24,"6d 02h 23m",5,Robert Crippen,"Anik C-2 / Palapa B-1 / SPAS-01",Satellite Deploy,"First American woman in space (Sally Ride); first 5-person crew; first satellite deployed and retrieved (SPAS-01)",Complete
8,STS-8,Challenger,1983-08-30,1983-09-05,"6d 01h 08m",5,Richard Truly,"Insat-1B / PFTA",Satellite Deploy,"First African-American in space (Guion Bluford); first night launch; first night landing",Complete
9,STS-9,Columbia,1983-11-28,1983-12-08,"10d 07h 47m",6,John Young,"Spacelab 1",Science,"First Spacelab mission; first 6-person crew; first non-US astronaut on Shuttle (Ulf Merbold ESA); Young's 6th and final spaceflight",Complete
10,STS-41-B,Challenger,1984-02-03,1984-02-11,"7d 23h 15m",5,Vance Brand,"Westar 6 / Palapa B-2 / SPAS-01A",Satellite Deploy,"First untethered spacewalk (Bruce McCandless with MMU); first Shuttle landing at KSC; two satellites failed to reach proper orbit",Complete
11,STS-41-C,Challenger,1984-04-06,1984-04-13,"6d 23h 40m",5,Robert Crippen,"LDEF deploy / Solar Max repair",Satellite Servicing,"First in-orbit satellite repair (Solar Maximum Mission); first direct ascent trajectory; deployed LDEF",Complete
12,STS-41-D,Discovery,1984-08-30,1984-09-05,"6d 00h 56m",6,Henry Hartsfield,"SBS-4 / Syncom IV-2 / Telstar 3-C / OAST-1",Satellite Deploy,"Discovery's maiden flight; first flight of PAM-D II; deployed 3 communications satellites; first commercial payload specialist (Charles Walker)",Complete
13,STS-41-G,Challenger,1984-10-05,1984-10-13,"8d 05h 23m",7,Robert Crippen,"ERBS / SIR-B / OSTA-3",Science / Satellite Deploy,"First 7-person crew; first mission with two women (Ride & Sullivan); first American woman EVA (Kathryn Sullivan); first Canadian in space (Marc Garneau)",Complete
14,STS-51-A,Discovery,1984-11-08,1984-11-16,"7d 23h 44m",5,Frederick Hauck,"Anik D-2 / Syncom IV-1 / Palapa B-2 & Westar 6 retrieval",Satellite Deploy / Retrieval,"First satellite retrieval mission; recovered Palapa B-2 and Westar 6 (failed satellites from STS-41-B); first time satellites returned to Earth",Complete
15,STS-51-C,Discovery,1985-01-24,1985-01-27,"3d 01h 33m",5,Thomas Mattingly,Magnum (classified ELINT satellite),Classified DoD,"First dedicated DoD mission; classified payload; shortest Discovery mission",Complete
16,STS-51-D,Discovery,1985-04-12,1985-04-19,"6d 23h 55m",7,Karol Bobko,"Anik C-1 / Syncom IV-3 / Unscheduled EVA",Satellite Deploy,"Syncom IV-3 (Leasat) failed to activate after deploy; unscheduled EVA to attempt repair (unsuccessful); first sitting US Senator in space (Jake Garn)",Complete
17,STS-51-B,Challenger,1985-04-29,1985-05-06,"7d 00h 08m",7,Robert Overmyer,"Spacelab 3",Science,"Second dedicated Spacelab mission; materials science and fluid physics experiments; carried two squirrel monkeys and 24 rats",Complete
18,STS-51-G,Discovery,1985-06-17,1985-06-24,"7d 01h 38m",7,Daniel Brandenstein,"Morelos-A / Arabsat 1-B / Telstar 3-D / SPARTAN-101 / SDI experiment",Satellite Deploy,"First Arab astronaut (Sultan bin Salman); first French astronaut on Shuttle (Patrick Baudry); deployed 3 commsats; SDI High Precision Tracking Experiment",Complete
19,STS-51-F,Challenger,1985-07-29,1985-08-06,"7d 22h 45m",7,Gordon Fullerton,"Spacelab 2 (solar/astronomy)",Science,"Abort to Orbit (ATO) — first in-flight engine shutdown and only ATO in Shuttle history; Spacelab 2 solar/stellar astronomy",Complete
20,STS-51-I,Discovery,1985-08-27,1985-09-03,"7d 02h 17m",5,Joe Engle,"ASC-1 / Aussat 1 / Syncom IV-4 / Syncom IV-3 repair",Satellite Deploy / Repair,"Deployed 3 communications satellites; repaired Syncom IV-3 (Leasat) during EVA that STS-51-D could not fix",Complete
21,STS-51-J,Atlantis,1985-10-03,1985-10-07,"4d 01h 44m",5,Karol Bobko,"DSCS-III (2 classified defense commsats)",Classified DoD,"Atlantis maiden flight; second dedicated DoD mission; deployed two DSCS-III satellites",Complete
22,STS-61-A,Challenger,1985-10-30,1985-11-06,"7d 00h 44m",8,Henry Hartsfield,"Spacelab D-1 (German)",Science,"Largest crew ever launched (8 people); first ESA-managed Spacelab mission; German D-1 Spacelab; Challenger's final successful mission",Complete
23,STS-61-B,Atlantis,1985-11-26,1985-12-03,"6d 21h 04m",7,Brewster Shaw,"Morelos-B / Aussat 2 / Satcom K-2 / EASE/ACCESS",Satellite Deploy,"First Mexican-American in space (Rodolfo Neri Vela); deployed 3 commsats; EASE/ACCESS construction experiments",Complete
24,STS-61-C,Columbia,1986-01-12,1986-01-18,"6d 02h 03m",7,Robert Gibson,"Satcom K-1 / MSL-2 / various",Satellite Deploy,"Last successful mission before Challenger disaster; first sitting US Congressman in space (Bill Nelson); future NASA Administrator Charles Bolden was pilot",Complete
25,STS-51-L,Challenger,1986-01-28,1986-01-28,"1m 13s",7,Dick Scobee,"TDRS-B / SPARTAN-Halley",Satellite Deploy,"Challenger disaster: vehicle broke apart 73 seconds after launch; all 7 crew killed; O-ring failure in right SRB; Teacher in Space Christa McAuliffe aboard",Failed
26,STS-26,Discovery,1988-09-29,1988-10-03,"4d 01h 00m",5,Frederick Hauck,"TDRS-3",Satellite Deploy,"Return to Flight after Challenger disaster (32-month stand-down); deployed TDRS-C successfully",Complete
27,STS-27,Atlantis,1988-12-02,1988-12-06,"4d 09h 05m",5,Robert Gibson,"Lacrosse 1 (classified radar imaging satellite)",Classified DoD,"Classified DoD mission; severe TPS tile damage discovered post-flight (over 700 tiles damaged); nearly catastrophic reentry",Complete
28,STS-29,Discovery,1989-03-13,1989-03-18,"4d 23h 38m",5,Michael Coats,"TDRS-4",Satellite Deploy,"Deployed TDRS-D; IMAX camera experiments",Complete
29,STS-30,Atlantis,1989-05-04,1989-05-08,"4d 00h 56m",5,David Walker,"Magellan Venus probe (IUS)",Planetary Probe Deploy,"First planetary probe deployed from Shuttle; Magellan radar-mapped Venus 1990-1994",Complete
30,STS-28,Columbia,1989-08-08,1989-08-13,"5d 01h 00m",5,Brewster Shaw,"SDS-2 (classified DoD relay satellite)",Classified DoD,"Classified DoD mission; deployed SDS-2 intelligence relay satellite",Complete
31,STS-34,Atlantis,1989-10-18,1989-10-23,"4d 23h 39m",5,Donald Williams,"Galileo Jupiter probe (IUS)",Planetary Probe Deploy,"Deployed Galileo spacecraft to Jupiter; second planetary probe from Shuttle; Galileo arrived Jupiter 1995",Complete
