version,mission_code,mission_name,start_date,end_date,mission_type,program,epoch,status,notes
1.0,NASA-FOUNDING,NASA Agency Founding,1958-10-01,,organization,NASA,1,complete,"National Aeronautics and Space Act signed Jul 29 1958; NASA begins operations Oct 1 1958; absorbed NACA 8000 employees 3 labs JPL"
1.1,PIONEER-0,Pioneer 0 (Thor-Able 1),1958-08-17,1958-08-17,lunar-probe,Pioneer,1,failed,"First NASA spacecraft attempt; launch failure; intended lunar orbiter"
1.2,PIONEER-1,Pioneer 1,1958-10-11,1958-10-13,lunar-probe,Pioneer,1,partial,"First NASA spacecraft launched; failed to reach Moon; returned useful radiation data"
1.3,EXPLORER-1,Explorer 1,1958-01-31,1958-05-23,earth-orbiter,Explorer,1,complete,"First US satellite; discovered Van Allen radiation belts; JPL/ABMA built"
1.4,VANGUARD-1,Vanguard 1,1958-03-17,,earth-orbiter,Vanguard,1,complete,"First solar-powered satellite; oldest object still in orbit; proved Earth is pear-shaped"
1.5,EXPLORER-2,Explorer 2,1958-03-05,1958-03-05,earth-orbiter,Explorer,1,failed,"Launch failure; Juno I upper stage did not ignite"
1.6,EXPLORER-3,Explorer 3,1958-03-26,1958-06-27,earth-orbiter,Explorer,1,complete,"Confirmed Van Allen belt discovery from Explorer 1"
1.7,EXPLORER-4,Explorer 4,1958-07-26,1958-10-06,earth-orbiter,Explorer,1,complete,"Studied radiation from Project Argus nuclear tests"
1.8,PIONEER-2,Pioneer 2,1958-11-08,1958-11-08,lunar-probe,Pioneer,1,failed,"Third stage failure; did not reach Moon"
1.9,PIONEER-3,Pioneer 3,1958-12-06,1958-12-07,lunar-probe,Pioneer,1,partial,"Did not reach Moon but discovered second Van Allen belt"
1.10,PIONEER-4,Pioneer 4,1959-03-03,1959-03-04,lunar-probe,Pioneer,1,complete,"First US spacecraft to escape Earth gravity; lunar flyby at 60000 km"
1.11,EXPLORER-5,Explorer 5,1958-08-24,1958-08-24,earth-orbiter,Explorer,1,failed,"Launch failure; booster collision"
1.12,EXPLORER-6,Explorer 6,1959-08-07,1959-10-06,earth-orbiter,Explorer,1,complete,"First photos of Earth from orbit; studied trapped radiation"
1.13,EXPLORER-7,Explorer 7,1959-10-13,1961-08-24,earth-orbiter,Explorer,1,complete,"First Earth energy balance measurements; Vanguard data"
1.14,PIONEER-5,Pioneer 5,1960-03-11,1960-06-26,interplanetary,Pioneer,1,complete,"Deep space probe between Earth and Venus; set communications distance record"
1.15,ECHO-1,Echo 1,1960-08-12,1968-05-24,communications,Echo,1,complete,"First passive communications satellite; 30m reflective balloon"
1.16,TIROS-1,TIROS-1,1960-04-01,1960-06-29,earth-science,TIROS,1,complete,"First successful weather satellite; Television Infrared Observation Satellite"
1.17,MERCURY-REDSTONE-1,Mercury-Redstone 1 (MR-1),1960-11-21,1960-11-21,test-flight,Mercury,1,failed,"Booster test; launched 4 inches then shut down"
1.18,MERCURY-REDSTONE-2,Mercury-Redstone 2 (MR-2),1961-01-31,1961-01-31,test-flight,Mercury,1,complete,"Suborbital test with chimpanzee Ham; qualified capsule for human flight"
1.19,MERCURY-ATLAS-5,Mercury-Atlas 5 (MA-5),1961-11-29,1961-11-29,test-flight,Mercury,1,complete,"Orbital test flight with chimpanzee Enos; 2 orbits; qualified for crewed orbital"
1.20,MR-3,Mercury-Redstone 3 / Freedom 7,1961-05-05,1961-05-05,crewed-suborbital,Mercury,1,complete,"Alan Shepard; first American in space; 15 min suborbital flight"
1.21,MR-4,Mercury-Redstone 4 / Liberty Bell 7,1961-07-21,1961-07-21,crewed-suborbital,Mercury,1,complete,"Gus Grissom; second American in space; capsule sank after splashdown"
1.22,MA-6,Mercury-Atlas 6 / Friendship 7,1962-02-20,1962-02-20,crewed-orbital,Mercury,1,complete,"John Glenn; first American to orbit Earth; 3 orbits; heat shield alarm"
1.23,MA-7,Mercury-Atlas 7 / Aurora 7,1962-05-24,1962-05-24,crewed-orbital,Mercury,1,complete,"Scott Carpenter; 3 orbits; science experiments; 400km off-target landing"
1.24,MA-8,Mercury-Atlas 8 / Sigma 7,1962-10-03,1962-10-03,crewed-orbital,Mercury,1,complete,"Wally Schirra; 6 orbits; precision engineering flight; 9.25 hours"
1.25,MA-9,Mercury-Atlas 9 / Faith 7,1963-05-15,1963-05-16,crewed-orbital,Mercury,1,complete,"Gordon Cooper; final Mercury mission; 22 orbits; 34 hours; longest US flight"
1.26,RANGER-1,Ranger 1,1961-08-23,1961-08-30,lunar-probe,Ranger,1,failed,"Test flight; failed to leave Earth orbit"
1.27,RANGER-2,Ranger 2,1961-11-18,1961-11-20,lunar-probe,Ranger,1,failed,"Test flight; failed to leave Earth orbit"
1.28,RANGER-3,Ranger 3,1962-01-26,1962-01-28,lunar-probe,Ranger,1,failed,"Missed Moon by 36793 km; guidance error"
1.29,RANGER-4,Ranger 4,1962-04-23,1962-04-26,lunar-probe,Ranger,1,partial,"First US spacecraft to hit Moon; but systems failed no data returned"
1.30,RANGER-5,Ranger 5,1962-10-18,1962-10-20,lunar-probe,Ranger,1,failed,"Solar panel failure; missed Moon by 725 km"
1.31,MARINER-1,Mariner 1,1962-07-22,1962-07-22,planetary-flyby,Mariner,1,failed,"Venus flyby attempt; launch vehicle destroyed by range safety; software error"
1.32,MARINER-2,Mariner 2,1962-08-27,1963-01-03,planetary-flyby,Mariner,1,complete,"First successful interplanetary spacecraft; Venus flyby Dec 14 1962; no magnetic field"
1.33,RANGER-6,Ranger 6,1964-01-30,1964-02-02,lunar-impact,Ranger,1,failed,"Hit Moon but cameras failed to activate"
